Policy Config,Policy Path,Policy Setting Name,Policy Type,Policy Group or Registry Key,Policy Setting,ncsc1903,"ncsc1903
Option",NCSC-GPO,"NCSC-GPO
Option","ncsc1903
GPO","NCSC-GPO
GPO"
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Root\ProtectedRoots,PeerUsages,"1.3.6.1.4.1.311.10.3.4,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.4","1.3.6.1.4.1.311.10.3.4
1.3.6.1.5.5.7.3.2
1.3.6.1.5.5.7.3.4","1.3.6.1.4.1.311.10.3.4,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.4","1.3.6.1.4.1.311.10.3.4
1.3.6.1.5.5.7.3.2
1.3.6.1.5.5.7.3.4",NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Trust\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Trust\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Trust\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\TrustedPeople\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\TrustedPeople\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\TrustedPeople\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\TrustedPublisher\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\TrustedPublisher\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\TrustedPublisher\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\Windows\Safer,,,,,,NCSC Windows 10 1903 - AppLocker,NCSC Windows - AppLocker
,,,HKLM,Software\Policies\Microsoft\Windows\WindowsUpdate,ManagePreviewBuilds,0,0,0,0,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,SOFTWARE\Policies\Microsoft\WindowsFirewall,PolicyVersion,541,541 (0x21D),541,541 (0x21D),NCSC Windows 10 1903 - Firewall Configuration,NCSC Windows - Firewall
Computer Configuration,...\AppLocker\DLL Rules,Configured,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll,EnforcementMode,1,Enforce rules,1,Enforce rules,NCSC Windows 10 1903 - AppLocker,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule 037a1688-740d-4fdd-998f-a34c246a8f5c,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\037a1688-740d-4fdd-998f-a34c246a8f5c,Value,,,"<FilePathRule Id=""037a1688-740d-4fdd-998f-a34c246a8f5c"" Name=""C:\ProgramData\App-V\*"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""C:\ProgramData\App-V\*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | C:\ProgramData\App-V\*
<FilePathRule Id=""037a1688-740d-4fdd-998f-a34c246a8f5c"" Name=""C:\ProgramData\App-V\*"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""C:\ProgramData\App-V\*"" />
  </Conditions>
</FilePathRule>",,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule 1c9e178f-cc4f-4081-9130-077b131ccdd6,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\1c9e178f-cc4f-4081-9130-077b131ccdd6,Value,,,"<FilePathRule Id=""1c9e178f-cc4f-4081-9130-077b131ccdd6"" Name=""Additional allowed path: %OSDRIVE%\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\*"" Description=""Allows Everyone to execute from %OSDRIVE%\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\*"" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""%OSDRIVE%\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | Additional allowed path: %OSDRIVE%\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\*
<FilePathRule Id=""1c9e178f-cc4f-4081-9130-077b131ccdd6"" Name=""Additional allowed path: %OSDRIVE%\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\*"" Description=""Allows Everyone to execute from %OSDRIVE%\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\*"" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""%OSDRIVE%\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\*"" />
  </Conditions>
</FilePathRule>",,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule 1f5ba109-db69-4ee8-8a67-457e21dca38b,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\1f5ba109-db69-4ee8-8a67-457e21dca38b,Value,,,"<FilePathRule Id=""1f5ba109-db69-4ee8-8a67-457e21dca38b"" Name=""C:\ProgramData\Microsoft\*"" Description=""Windows Defender"" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""C:\ProgramData\Microsoft\*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | C:\ProgramData\Microsoft\*
<FilePathRule Id=""1f5ba109-db69-4ee8-8a67-457e21dca38b"" Name=""C:\ProgramData\Microsoft\*"" Description=""Windows Defender"" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""C:\ProgramData\Microsoft\*"" />
  </Conditions>
</FilePathRule>",,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule 3737732c-99b7-41d4-9037-9cddfb0de0d0,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\3737732c-99b7-41d4-9037-9cddfb0de0d0,Value,"<FilePathRule Id=""3737732c-99b7-41d4-9037-9cddfb0de0d0"" Name=""(Default Rule) All DLLs located in the Program Files folder"" Description=""Allows members of the Everyone group to load DLLs that are located in the Program Files folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""%PROGRAMFILES%\*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | (Default Rule) All DLLs located in the Program Files folder
<FilePathRule Id=""3737732c-99b7-41d4-9037-9cddfb0de0d0"" Name=""(Default Rule) All DLLs located in the Program Files folder"" Description=""Allows members of the Everyone group to load DLLs that are located in the Program Files folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""%PROGRAMFILES%\*"" />
  </Conditions>
</FilePathRule>","<FilePathRule Id=""3737732c-99b7-41d4-9037-9cddfb0de0d0"" Name=""(Default Rule) All DLLs located in the Program Files folder"" Description=""Allows members of the Everyone group to load DLLs that are located in the Program Files folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""%PROGRAMFILES%\*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | (Default Rule) All DLLs located in the Program Files folder
<FilePathRule Id=""3737732c-99b7-41d4-9037-9cddfb0de0d0"" Name=""(Default Rule) All DLLs located in the Program Files folder"" Description=""Allows members of the Everyone group to load DLLs that are located in the Program Files folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""%PROGRAMFILES%\*"" />
  </Conditions>
</FilePathRule>",NCSC Windows 10 1903 - AppLocker,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule ac2e214d-875e-47b8-879a-2175065c8903,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\ac2e214d-875e-47b8-879a-2175065c8903,Value,,,"<FilePublisherRule Id=""ac2e214d-875e-47b8-879a-2175065c8903"" Name=""Microsoft Teams: Signer/product rule for O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US/MICROSOFT TEAMS"" Description=""Allowing Teams DLLs"" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePublisherCondition PublisherName=""O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" ProductName=""MICROSOFT TEAMS"" BinaryName=""*""><BinaryVersionRange LowSection=""*"" HighSection=""*""/></FilePublisherCondition></Conditions></FilePublisherRule>\r\n","FilePublisherRule | Allow | Everyone | Microsoft Teams: Signer/product rule for O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US/MICROSOFT TEAMS
<FilePublisherRule Id=""ac2e214d-875e-47b8-879a-2175065c8903"" Name=""Microsoft Teams: Signer/product rule for O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US/MICROSOFT TEAMS"" Description=""Allowing Teams DLLs"" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePublisherCondition PublisherName=""O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" ProductName=""MICROSOFT TEAMS"" BinaryName=""*"">
      <BinaryVersionRange LowSection=""*"" HighSection=""*"" />
    </FilePublisherCondition>
  </Conditions>
</FilePublisherRule>",,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule b322869f-7431-488c-ab0d-e1c49510283f,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\b322869f-7431-488c-ab0d-e1c49510283f,Value,"<FilePathRule Id=""b322869f-7431-488c-ab0d-e1c49510283f"" Name=""%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | %OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*
<FilePathRule Id=""b322869f-7431-488c-ab0d-e1c49510283f"" Name=""%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*"" />
  </Conditions>
</FilePathRule>",,,NCSC Windows 10 1903 - AppLocker,
Computer Configuration,...\AppLocker\DLL Rules,Rule c4f31fbd-634b-48a9-83b9-6ff20170573b,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\c4f31fbd-634b-48a9-83b9-6ff20170573b,Value,,,"<FilePublisherRule Id=""c4f31fbd-634b-48a9-83b9-6ff20170573b"" Name=""*, version 1.0.0.0 and above, in MICROSOFT ONEDRIVE, from O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePublisherCondition PublisherName=""O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" ProductName=""MICROSOFT ONEDRIVE"" BinaryName=""*""><BinaryVersionRange LowSection=""*"" HighSection=""*""/></FilePublisherCondition></Conditions></FilePublisherRule>\r\n","FilePublisherRule | Allow | Everyone | *, version 1.0.0.0 and above, in MICROSOFT ONEDRIVE, from O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
<FilePublisherRule Id=""c4f31fbd-634b-48a9-83b9-6ff20170573b"" Name=""*, version 1.0.0.0 and above, in MICROSOFT ONEDRIVE, from O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePublisherCondition PublisherName=""O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" ProductName=""MICROSOFT ONEDRIVE"" BinaryName=""*"">
      <BinaryVersionRange LowSection=""*"" HighSection=""*"" />
    </FilePublisherCondition>
  </Conditions>
</FilePublisherRule>",,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule dll,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll,AllowWindows,0,0,0,0,NCSC Windows 10 1903 - AppLocker,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule e0e1f454-d63e-41cb-85d5-3c11a9b9889f,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\e0e1f454-d63e-41cb-85d5-3c11a9b9889f,Value,"<FilePathRule Id=""e0e1f454-d63e-41cb-85d5-3c11a9b9889f"" Name=""Microsoft Windows DLLs - with exceptions for writeable locations"" Description=""Allows members of the Everyone group to load DLLs located in the Windows folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""%WINDIR%\*""/></Conditions><Exceptions><FilePathCondition Path=""%SYSTEM32%\AppLocker\*""/><FilePathCondition Path=""%SYSTEM32%\com\dmp\*""/><FilePathCondition Path=""%SYSTEM32%\FxsTmp\*""/><FilePathCondition Path=""%SYSTEM32%\Microsoft\Crypto\RSA\MachineKeys\*""/><FilePathCondition Path=""%SYSTEM32%\Spool\drivers\color\*""/><FilePathCondition Path=""%SYSTEM32%\Spool\PRINTERS\*""/><FilePathCondition Path=""%SYSTEM32%\Spool\SERVERS\*""/><FilePathCondition Path=""%SYSTEM32%\Tasks\*""/><FilePathCondition Path=""%WINDIR%\registration\crmlog\*""/><FilePathCondition Path=""%WINDIR%\servicing\Packages\*""/><FilePathCondition Path=""%WINDIR%\servicing\Sessions\*""/><FilePathCondition Path=""%WINDIR%\Tasks\*""/><FilePathCondition Path=""%WINDIR%\temp\*""/><FilePathCondition Path=""%WINDIR%\Tracing\*""/></Exceptions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | Microsoft Windows DLLs - with exceptions for writeable locations
<FilePathRule Id=""e0e1f454-d63e-41cb-85d5-3c11a9b9889f"" Name=""Microsoft Windows DLLs - with exceptions for writeable locations"" Description=""Allows members of the Everyone group to load DLLs located in the Windows folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""%WINDIR%\*"" />
  </Conditions>
  <Exceptions>
    <FilePathCondition Path=""%SYSTEM32%\AppLocker\*"" />
    <FilePathCondition Path=""%SYSTEM32%\com\dmp\*"" />
    <FilePathCondition Path=""%SYSTEM32%\FxsTmp\*"" />
    <FilePathCondition Path=""%SYSTEM32%\Microsoft\Crypto\RSA\MachineKeys\*"" />
    <FilePathCondition Path=""%SYSTEM32%\Spool\drivers\color\*"" />
    <FilePathCondition Path=""%SYSTEM32%\Spool\PRINTERS\*"" />
    <FilePathCondition Path=""%SYSTEM32%\Spool\SERVERS\*"" />
    <FilePathCondition Path=""%SYSTEM32%\Tasks\*"" />
    <FilePathCondition Path=""%WINDIR%\registration\crmlog\*"" />
    <FilePathCondition Path=""%WINDIR%\servicing\Packages\*"" />
    <FilePathCondition Path=""%WINDIR%\servicing\Sessions\*"" />
    <FilePathCondition Path=""%WINDIR%\Tasks\*"" />
    <FilePathCondition Path=""%WINDIR%\temp\*"" />
    <FilePathCondition Path=""%WINDIR%\Tracing\*"" />
  </Exceptions>
</FilePathRule>","<FilePathRule Id=""e0e1f454-d63e-41cb-85d5-3c11a9b9889f"" Name=""Microsoft Windows DLLs - with exceptions for writeable locations"" Description=""Allows members of the Everyone group to load DLLs located in the Windows folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePathCondition Path=""%WINDIR%\*""/></Conditions><Exceptions><FilePathCondition Path=""%SYSTEM32%\catroot2\*""/><FilePathCondition Path=""%SYSTEM32%\com\dmp\*""/><FilePathCondition Path=""%SYSTEM32%\FxsTmp\*""/><FilePathCondition Path=""%SYSTEM32%\spool\drivers\color\*""/><FilePathCondition Path=""%SYSTEM32%\spool\PRINTERS\*""/><FilePathCondition Path=""%SYSTEM32%\spool\SERVERS\*""/><FilePathCondition Path=""%SYSTEM32%\Tasks\*""/><FilePathCondition Path=""%WINDIR%\debug\*""/><FilePathCondition Path=""%WINDIR%\pchealth\ERRORREP\*""/><FilePathCondition Path=""%WINDIR%\registration\*""/><FilePathCondition Path=""%WINDIR%\SysWOW64\com\tmp\*""/><FilePathCondition Path=""%WINDIR%\SysWOW64\FxsTmp\*""/><FilePathCondition Path=""%WINDIR%\SysWOW64\Tasks\*""/><FilePathCondition Path=""%WINDIR%\tasks\*""/><FilePathCondition Path=""%WINDIR%\temp\*""/><FilePathCondition Path=""%WINDIR%\tracing\*""/></Exceptions></FilePathRule>\r\n","FilePathRule | Allow | Everyone | Microsoft Windows DLLs - with exceptions for writeable locations
<FilePathRule Id=""e0e1f454-d63e-41cb-85d5-3c11a9b9889f"" Name=""Microsoft Windows DLLs - with exceptions for writeable locations"" Description=""Allows members of the Everyone group to load DLLs located in the Windows folder."" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""%WINDIR%\*"" />
  </Conditions>
  <Exceptions>
    <FilePathCondition Path=""%SYSTEM32%\catroot2\*"" />
    <FilePathCondition Path=""%SYSTEM32%\com\dmp\*"" />
    <FilePathCondition Path=""%SYSTEM32%\FxsTmp\*"" />
    <FilePathCondition Path=""%SYSTEM32%\spool\drivers\color\*"" />
    <FilePathCondition Path=""%SYSTEM32%\spool\PRINTERS\*"" />
    <FilePathCondition Path=""%SYSTEM32%\spool\SERVERS\*"" />
    <FilePathCondition Path=""%SYSTEM32%\Tasks\*"" />
    <FilePathCondition Path=""%WINDIR%\debug\*"" />
    <FilePathCondition Path=""%WINDIR%\pchealth\ERRORREP\*"" />
    <FilePathCondition Path=""%WINDIR%\registration\*"" />
    <FilePathCondition Path=""%WINDIR%\SysWOW64\com\tmp\*"" />
    <FilePathCondition Path=""%WINDIR%\SysWOW64\FxsTmp\*"" />
    <FilePathCondition Path=""%WINDIR%\SysWOW64\Tasks\*"" />
    <FilePathCondition Path=""%WINDIR%\tasks\*"" />
    <FilePathCondition Path=""%WINDIR%\temp\*"" />
    <FilePathCondition Path=""%WINDIR%\tracing\*"" />
  </Exceptions>
</FilePathRule>",NCSC Windows 10 1903 - AppLocker,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\DLL Rules,Rule fe64f59f-6fca-45e5-a731-0f6715327c38,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Dll\fe64f59f-6fca-45e5-a731-0f6715327c38,Value,"<FilePathRule Id=""fe64f59f-6fca-45e5-a731-0f6715327c38"" Name=""(Default Rule) All DLLs"" Description=""Allows members of the local Administrators group to load all DLLs."" UserOrGroupSid=""S-1-5-32-544"" Action=""Allow""><Conditions><FilePathCondition Path=""*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | BUILTIN\Administrators | (Default Rule) All DLLs
<FilePathRule Id=""fe64f59f-6fca-45e5-a731-0f6715327c38"" Name=""(Default Rule) All DLLs"" Description=""Allows members of the local Administrators group to load all DLLs."" UserOrGroupSid=""S-1-5-32-544"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""*"" />
  </Conditions>
</FilePathRule>","<FilePathRule Id=""fe64f59f-6fca-45e5-a731-0f6715327c38"" Name=""(Default Rule) All DLLs"" Description=""Allows members of the local Administrators group to load all DLLs."" UserOrGroupSid=""S-1-5-32-544"" Action=""Allow""><Conditions><FilePathCondition Path=""*""/></Conditions></FilePathRule>\r\n","FilePathRule | Allow | BUILTIN\Administrators | (Default Rule) All DLLs
<FilePathRule Id=""fe64f59f-6fca-45e5-a731-0f6715327c38"" Name=""(Default Rule) All DLLs"" Description=""Allows members of the local Administrators group to load all DLLs."" UserOrGroupSid=""S-1-5-32-544"" Action=""Allow"">
  <Conditions>
    <FilePathCondition Path=""*"" />
  </Conditions>
</FilePathRule>",NCSC Windows 10 1903 - AppLocker,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\Executable Rules,Configured,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Exe,EnforcementMode,1,Enforce rules,1,Enforce rules,NCSC Windows 10 1903 - AppLocker,NCSC Windows - AppLocker
Computer Configuration,...\AppLocker\Executable Rules,Rule 1242dbca-19a7-4351-8298-4bd4edfb4d8d,HKLM,Software\Policies\Microsoft\Windows\SrpV2\Exe\1242dbca-19a7-4351-8298-4bd4edfb4d8d,Value,,,"<FilePublisherRule Id=""1242dbca-19a7-4351-8298-4bd4edfb4d8d"" Name=""*, version 18.0.0.0 and above, in MICROSOFT ONEDRIVE, from O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow""><Conditions><FilePublisherCondition PublisherName=""O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" ProductName=""MICROSOFT ONEDRIVE"" BinaryName=""*""><BinaryVersionRange LowSection=""*"" HighSection=""*""/></FilePublisherCondition></Conditions></FilePublisherRule>\r\n","FilePublisherRule | Allow | Everyone | *, version 18.0.0.0 and above, in MICROSOFT ONEDRIVE, from O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
<FilePublisherRule Id=""1242dbca-19a7-4351-8298-4bd4edfb4d8d"" Name=""*, version 18.0.0.0 and above, in MICROSOFT ONEDRIVE, from O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" Description="""" UserOrGroupSid=""S-1-1-0"" Action=""Allow"">
  <Conditions>
    <FilePublisherCondition PublisherName=""O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US"" ProductName=""MICROSOFT ONEDRIVE"" BinaryName=""*"">
      <BinaryVersionRange LowSection=""*"" HighSection=""*"" />
    </FilePublisherCondition>
  </Conditions>
</FilePublisherRule>",,NCSC Windows - AppLocker
